Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
3:58:00 PM,2014-12-10 3:58:00 PM,121,ng/ml,,,dsDNA HS,,,80.47,47659.93,,BLUE,11858.60,
3:57:54 PM,2014-12-10 3:57:54 PM,109,ng/ml,,,dsDNA HS,,,80.47,47659.93,,BLUE,10759.12,
3:57:48 PM,2014-12-10 3:57:48 PM,59.5,ng/ml,,,dsDNA HS,,,80.47,47659.93,,BLUE,5869.81,
3:57:42 PM,2014-12-10 3:57:42 PM,110,ng/ml,,,dsDNA HS,,,80.47,47659.93,,BLUE,10814.48,
3:57:36 PM,2014-12-10 3:57:36 PM,95.2,ng/ml,,,dsDNA HS,,,80.47,47659.93,,BLUE,9372.12,
3:57:31 PM,2014-12-10 3:57:31 PM,120,ng/ml,,,dsDNA HS,,,80.47,47659.93,,BLUE,11773.21,
3:57:25 PM,2014-12-10 3:57:25 PM,135,ng/ml,,,dsDNA HS,,,80.47,47659.93,,BLUE,13235.90,
3:57:18 PM,2014-12-10 3:57:18 PM,123,ng/ml,,,dsDNA HS,,,80.47,47659.93,,BLUE,12087.49,
3:57:10 PM,2014-12-10 3:57:10 PM,127,ng/ml,,,dsDNA HS,,,80.47,47659.93,,BLUE,12536.62,
3:56:37 PM,2014-12-10 3:56:37 PM,99.0,ng/ml,19.8,ng/µL,dsDNA HS,1,200.00,80.47,47659.93,,BLUE,9750.42,
3:32:56 PM,2014-11-12 3:32:56 PM,8.83,ng/ml,,,dsDNA HS,,,67.50,47862.72,,BLUE,904.00,
3:32:49 PM,2014-11-12 3:32:49 PM,8.92,ng/ml,,,dsDNA HS,,,67.50,47862.72,,BLUE,912.36,
3:32:11 PM,2014-11-12 3:32:11 PM,9.87,ng/ml,,,dsDNA HS,,,67.50,47862.72,,BLUE,1004.08,
