Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (킠),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
11:46:57 AM,2014-01-30 11:46:57 AM,124,ng/ml,12.4,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,12371.15,
11:46:43 AM,2014-01-30 11:46:43 AM,116,ng/ml,11.6,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,11568.42,
11:46:32 AM,2014-01-30 11:46:32 AM,127,ng/ml,12.7,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,12677.42,
11:46:21 AM,2014-01-30 11:46:21 AM,132,ng/ml,13.2,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,13176.33,
11:46:08 AM,2014-01-30 11:46:08 AM,136,ng/ml,13.6,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,13552.79,
11:45:55 AM,2014-01-30 11:45:55 AM,128,ng/ml,12.8,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,12730.12,
11:45:44 AM,2014-01-30 11:45:44 AM,124,ng/ml,12.4,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,12402.49,
11:45:33 AM,2014-01-30 11:45:33 AM,128,ng/ml,12.8,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,12774.86,
11:45:21 AM,2014-01-30 11:45:21 AM,125,ng/ml,12.5,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,12433.91,
11:34:36 AM,2014-01-30 11:34:36 AM,129,ng/ml,12.9,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,12919.03,
11:34:24 AM,2014-01-30 11:34:24 AM,125,ng/ml,12.5,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,12514.65,
11:34:13 AM,2014-01-30 11:34:13 AM,126,ng/ml,12.6,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,12618.56,
11:34:02 AM,2014-01-30 11:34:02 AM,131,ng/ml,13.1,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,13079.20,
11:33:51 AM,2014-01-30 11:33:51 AM,127,ng/ml,12.7,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,12635.11,
11:33:38 AM,2014-01-30 11:33:38 AM,129,ng/ml,12.9,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,12860.38,
11:33:26 AM,2014-01-30 11:33:26 AM,131,ng/ml,13.1,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,13123.83,
11:33:15 AM,2014-01-30 11:33:15 AM,129,ng/ml,12.9,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,12890.70,
11:33:01 AM,2014-01-30 11:33:01 AM,133,ng/ml,13.3,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,13313.76,
