Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (킠),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
10:18:43 AM,2015-10-02 10:18:43 AM,1.96,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,260.29,
10:18:38 AM,2015-10-02 10:18:38 AM,4.63,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,490.33,
10:18:32 AM,2015-10-02 10:18:32 AM,3.85,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,422.84,
10:18:26 AM,2015-10-02 10:18:26 AM,7.61,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,750.74,
10:18:20 AM,2015-10-02 10:18:20 AM,181,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,16240.67,
10:17:58 AM,2015-10-02 10:17:58 AM,181,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,16284.05,
10:17:50 AM,2015-10-02 10:17:50 AM,106,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,9587.55,
10:17:43 AM,2015-10-02 10:17:43 AM,320,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,28467.49,
10:17:36 AM,2015-10-02 10:17:36 AM,>600,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,58300.07,
10:17:28 AM,2015-10-02 10:17:28 AM,580,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,50468.94,
10:17:21 AM,2015-10-02 10:17:21 AM,201,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,18079.39,
10:17:14 AM,2015-10-02 10:17:14 AM,333,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,29541.96,
10:17:07 AM,2015-10-02 10:17:07 AM,71.2,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,6445.29,
10:17:00 AM,2015-10-02 10:17:00 AM,530,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,45992.59,
10:16:53 AM,2015-10-02 10:16:53 AM,580,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,49805.90,
10:16:46 AM,2015-10-02 10:16:46 AM,423,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,37247.66,
10:16:39 AM,2015-10-02 10:16:39 AM,459,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,40270.44,
10:16:32 AM,2015-10-02 10:16:32 AM,126,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,11338.50,
10:16:23 AM,2015-10-02 10:16:23 AM,218,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,19545.31,
10:16:18 AM,2015-10-02 10:16:18 AM,125,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,11240.93,
10:16:11 AM,2015-10-02 10:16:11 AM,2.74,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,326.96,
10:15:58 AM,2015-10-02 10:15:58 AM,1.37,ng/ml,0.274,ng/킠,dsDNA HS,1,200.00,95.61,43658.80,,BLUE,210.07,
10:15:44 AM,2015-10-02 10:15:44 AM,>600,ng/ml,,,dsDNA HS,,,95.61,43658.80,,BLUE,65626.35,
