DiveNum,CollectingAPCL,Date,Name,Municipality,GPS,Divers,StartTime,EndTime,Duration,Discontinuous,PauseStart,PauseEnd,Weather,Current_knots,WaveHeight_cm,Visibility_m,Wind_mph,Tide,Topo_m,DepthTop_m,DepthBottom_m,Cover,Notes
1,1,5/11/16,Visca,BayBay,3,MRS,15:25,17:06,1:41,0,,,"sunny, hot",0.1,5,3,0,,3,1,4,"sand, algae, scattered corals",To replace HOBO temperature data loggers and test Tony's fish collecting methods
2,1,5/12/16,Sitio Baybayon,BayBay,3,MRS,10:12,12:05,1:53,0,,,partly cloudy,0.1,5,6,,,4,1,4,reef,Fast paced dive that missed some anemones
3,1,5/12/16,Sitio Baybayon,BayBay,3,MRS,13:40,15:26,1:46,0,,,partly cloudy,0.1,5,6,,,4,1,4,reef,Fast paced dive that missed some anemones
4,1,5/13/16,Palanas,Albuera,3,MRS,10:08,12:11,2:03,0,,,partly cloudy,1,5,6,,,2,2.6,4.9,reef bombies,Malin catching clownfish! Fairly thorough anemone survey.
5,1,5/13/16,Palanas,Albuera,3,MRS,13:59,15:52,1:53,0,,,partly cloudy,1,5,6,,,2,4.1,5.8,reef bombies,Malin catching clownfish! Fairly thorough anemone survey.
6,1,5/14/16,Palanas,Albuera,3,MRS,11:10,13:30,02:20,0,,,partly cloudy,1,5,6,,,1,2.7,3.7,reef bombies,Malin catching clownfish! Fairly thorough anemone survey.
7,1,5/14/16,Palanas,Albuera,3,MRS,14:29,16:17,01:48,0,,,partly cloudy,1,5,6,,,2,3.8,5.7,reef bombies,Malin catching clownfish! Fairly thorough anemone survey.
8,1,5/15/16,Palanas,Albuera,3,MRS,09:38,11:32,01:54,0,,,"rainly, cloudy",1,5,2.5,,,1.3,3.3,4.6,reef bombies,Malin catching clownfish! Fairly thorough anemone survey.
9,1,5/15/16,Palanas,Albuera,3,MRS,12:38,14:34,01:56,0,,,"rainly, cloudy",1,5,3,,,2.1,2.7,4.8,reef bombies,Malin catching clownfish! Fairly thorough anemone survey.
10,1,5/16/16,Palanas,Albuera,3,MRS,09:52,11:50,01:58,0,,,partly cloudy,1,2,3,,,1.7,2.4,4.1,reef bombies,Malin catching clownfish! Fairly thorough anemone survey.
11,1,5/16/16,Palanas,Albuera,3,MRS,12:50,14:44,01:54,0,,,partly cloudy,1,2,3,,,1.1,3.1,4.2,reef bombies,Malin catching clownfish! Fairly thorough anemone survey.
12,1,5/17/16,Cabatuon,Albuera,3,MRS,09:36,12:10,02:34,0,,,partly cloudy,1,2,3,,,2.4,1.3,3.7,reef bombies,"Malin catching clownfish with Tony's help, fairly thorough anemone survey"
13,1,5/17/16,Magbangon,Albuera,3,MRS,13:16,14:01,00:45,0,,,partly cloudy,1,2,3,,,0.9,0.9,1.8,reef bombies,"Malin catching clownfish with Tony's help, missed some anemones, there were many"
14,1,5/17/16,Caridad Cemetary,BayBay,3,MRS,14:44,15:30,00:46,0,,,partly cloudy,1,2,3,,,2.5,2.5,5,rock rubble with occasional reef bombie and sandy flats,"Malin catching clownfish with Tony's help, anemones were rare and easily missed because they could be in the sand away from the reef track"
