Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
2:09:47 PM,2014-04-03 2:09:47 PM,398,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,34136.33,
2:09:41 PM,2014-04-03 2:09:41 PM,345,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,29780.77,
2:09:35 PM,2014-04-03 2:09:35 PM,366,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,31540.37,
2:09:29 PM,2014-04-03 2:09:29 PM,206,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,17979.87,
2:09:22 PM,2014-04-03 2:09:22 PM,327,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,28255.36,
2:09:15 PM,2014-04-03 2:09:15 PM,159,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,13956.40,
2:09:08 PM,2014-04-03 2:09:08 PM,376,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,32364.59,
2:09:00 PM,2014-04-03 2:09:00 PM,<0.50,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,88.48,
2:08:54 PM,2014-04-03 2:08:54 PM,312,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,26998.02,
2:08:48 PM,2014-04-03 2:08:48 PM,296,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,25639.18,
2:08:41 PM,2014-04-03 2:08:41 PM,332,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,28670.22,
2:08:35 PM,2014-04-03 2:08:35 PM,319,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,27561.57,
2:08:29 PM,2014-04-03 2:08:29 PM,313,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,27051.57,
2:08:20 PM,2014-04-03 2:08:20 PM,375,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,32285.61,
2:08:14 PM,2014-04-03 2:08:14 PM,387,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,33271.10,
2:08:07 PM,2014-04-03 2:08:07 PM,32.5,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,2887.41,
2:08:00 PM,2014-04-03 2:08:00 PM,8.10,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,774.51,
2:07:54 PM,2014-04-03 2:07:54 PM,16.7,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,1511.24,
2:07:47 PM,2014-04-03 2:07:47 PM,58.3,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,5140.94,
2:07:40 PM,2014-04-03 2:07:40 PM,15.7,ng/ml,,,dsDNA HS,,,95.51,42467.24,,BLUE,1426.04,
2:07:28 PM,2014-04-03 2:07:28 PM,52.6,ng/ml,5.26,ng/µL,dsDNA HS,2,100.00,95.51,42467.24,,BLUE,4643.63,
3:29:47 PM,2014-04-01 3:29:47 PM,<0.50,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,90.99,
3:29:40 PM,2014-04-01 3:29:40 PM,<0.50,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,91.33,
3:29:32 PM,2014-04-01 3:29:32 PM,<0.50,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,111.48,
3:29:25 PM,2014-04-01 3:29:25 PM,21.4,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,2041.44,
3:29:18 PM,2014-04-01 3:29:18 PM,66.0,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,6160.08,
3:29:12 PM,2014-04-01 3:29:12 PM,61.3,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,5720.95,
3:29:06 PM,2014-04-01 3:29:06 PM,1.61,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,250.87,
3:28:57 PM,2014-04-01 3:28:57 PM,1.25,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,219.75,
3:28:46 PM,2014-04-01 3:28:46 PM,3.46,ng/ml,0.346,ng/µL,dsDNA HS,2,100.00,112.80,44873.29,,BLUE,414.30,
