Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
1:08:50 PM,2017-10-04 1:08:50 PM,177,ng/ml,,,dsDNA HS,,,104.84,46517.54,,BLUE,16987.69,
1:08:42 PM,2017-10-04 1:08:42 PM,314,ng/ml,,,dsDNA HS,,,104.84,46517.54,,BLUE,29789.59,
1:08:34 PM,2017-10-04 1:08:34 PM,13.9,ng/ml,,,dsDNA HS,,,104.84,46517.54,,BLUE,1397.37,
1:08:25 PM,2017-10-04 1:08:25 PM,212,ng/ml,,,dsDNA HS,,,104.84,46517.54,,BLUE,20262.51,
1:08:18 PM,2017-10-04 1:08:18 PM,347,ng/ml,,,dsDNA HS,,,104.84,46517.54,,BLUE,32813.75,
1:07:55 PM,2017-10-04 1:07:55 PM,133,ng/ml,26.6,ng/µL,dsDNA HS,1,200.00,104.84,46517.54,,BLUE,12745.72,
3:09:47 PM,2017-09-06 3:09:47 PM,9.52,ng/ml,,,dsDNA HS,,,101.48,56085.99,,BLUE,1159.36,
3:09:32 PM,2017-09-06 3:09:32 PM,15.8,ng/ml,,,dsDNA HS,,,101.48,56085.99,,BLUE,1877.83,
3:09:15 PM,2017-09-06 3:09:15 PM,12.6,ng/ml,,,dsDNA HS,,,101.48,56085.99,,BLUE,1512.88,
3:09:01 PM,2017-09-06 3:09:01 PM,5.50,ng/ml,,,dsDNA HS,,,101.48,56085.99,,BLUE,705.81,
3:08:41 PM,2017-09-06 3:08:41 PM,5.82,ng/ml,,,dsDNA HS,,,101.48,56085.99,,BLUE,741.87,
3:08:24 PM,2017-09-06 3:08:24 PM,17.9,ng/ml,,,dsDNA HS,,,101.48,56085.99,,BLUE,2108.26,
3:07:48 PM,2017-09-06 3:07:48 PM,5.86,ng/ml,,,dsDNA HS,,,101.48,56085.99,,BLUE,746.98,
3:07:18 PM,2017-09-06 3:07:18 PM,2.92,ng/ml,,,dsDNA HS,,,101.48,56085.99,,BLUE,418.45,
4:17:14 PM,2017-08-31 4:17:14 PM,3.31,ng/ml,,,dsDNA HS,,,88.25,35305.52,,BLUE,314.63,
4:16:57 PM,2017-08-31 4:16:57 PM,130,ng/ml,,,dsDNA HS,,,88.25,35305.52,,BLUE,9503.78,
4:16:37 PM,2017-08-31 4:16:37 PM,0.62,ng/ml,,,dsDNA HS,,,88.25,35305.52,,BLUE,129.51,
4:16:08 PM,2017-08-31 4:16:08 PM,3.82,ng/ml,,,dsDNA HS,,,88.25,35305.52,,BLUE,350.72,
4:15:53 PM,2017-08-31 4:15:53 PM,17.7,ng/ml,,,dsDNA HS,,,88.25,35305.52,,BLUE,1336.25,
4:15:37 PM,2017-08-31 4:15:37 PM,5.84,ng/ml,,,dsDNA HS,,,88.25,35305.52,,BLUE,492.30,
4:15:21 PM,2017-08-31 4:15:21 PM,37.6,ng/ml,,,dsDNA HS,,,88.25,35305.52,,BLUE,2776.37,
4:15:06 PM,2017-08-31 4:15:06 PM,12.2,ng/ml,,,dsDNA HS,,,88.25,35305.52,,BLUE,945.37,
4:14:29 PM,2017-08-31 4:14:29 PM,25.3,ng/ml,,,dsDNA HS,,,88.25,35305.52,,BLUE,1888.75,
4:14:13 PM,2017-08-31 4:14:13 PM,47.4,ng/ml,,,dsDNA HS,,,88.25,35305.52,,BLUE,3493.67,
4:13:55 PM,2017-08-31 4:13:55 PM,8.21,ng/ml,,,dsDNA HS,,,88.25,35305.52,,BLUE,660.18,
4:13:40 PM,2017-08-31 4:13:40 PM,6.73,ng/ml,,,dsDNA HS,,,88.25,35305.52,,BLUE,555.76,
