Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (킠),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
2:58:06 PM,2014-11-04 2:58:06 PM,290,ng/ml,,,dsDNA HS,,,71.63,44991.21,,BLUE,26652.92,
2:57:58 PM,2014-11-04 2:57:58 PM,350,ng/ml,,,dsDNA HS,,,71.63,44991.21,,BLUE,31946.00,
2:57:49 PM,2014-11-04 2:57:49 PM,317,ng/ml,,,dsDNA HS,,,71.63,44991.21,,BLUE,29004.24,
2:57:32 PM,2014-11-04 2:57:32 PM,288,ng/ml,,,dsDNA HS,,,71.63,44991.21,,BLUE,26437.78,
2:56:45 PM,2014-11-04 2:56:45 PM,510,ng/ml,51.0,ng/킠,dsDNA HS,2,100.00,71.63,44991.21,,BLUE,46090.47,
10:51:01 AM,2014-11-03 10:51:01 AM,155,ng/ml,,,dsDNA HS,,,68.08,41617.71,,BLUE,13321.78,
10:50:52 AM,2014-11-03 10:50:52 AM,149,ng/ml,,,dsDNA HS,,,68.08,41617.71,,BLUE,12780.69,
10:50:42 AM,2014-11-03 10:50:42 AM,99.7,ng/ml,,,dsDNA HS,,,68.08,41617.71,,BLUE,8568.24,
10:50:33 AM,2014-11-03 10:50:33 AM,248,ng/ml,,,dsDNA HS,,,68.08,41617.71,,BLUE,21173.20,
10:50:24 AM,2014-11-03 10:50:24 AM,135,ng/ml,,,dsDNA HS,,,68.08,41617.71,,BLUE,11622.59,
10:50:16 AM,2014-11-03 10:50:16 AM,33.0,ng/ml,,,dsDNA HS,,,68.08,41617.71,,BLUE,2850.11,
10:50:07 AM,2014-11-03 10:50:07 AM,58.3,ng/ml,,,dsDNA HS,,,68.08,41617.71,,BLUE,5019.90,
10:49:57 AM,2014-11-03 10:49:57 AM,98.9,ng/ml,,,dsDNA HS,,,68.08,41617.71,,BLUE,8505.67,
